texto,ansiedade,tristeza_desanimo,estresse_sobrecarga,medo_inseguranca,bem_estar,sintoma_fisico
Fico me comparando com outras gestantes e isso mexe com minha cabeça,1,1,0,0,0,0
Tanta informação contraditória sobre gravidez só aumenta minha confusão,1,0,0,0,0,0
"Parei de seguir umas contas de grávida nas redes, tava me fazendo mal",0,1,0,0,0,0
"Não reconheço meu corpo no espelho ultimamente, isso mexeu comigo hoje",0,1,0,0,0,0
"Aprendendo a aceitar as mudanças do corpo, hoje me senti bem com isso",0,0,0,0,1,0
"As estrias novas me incomodaram um pouco hoje, mas tentei não ligar",0,1,0,0,0,0
"Me sinto linda nessa fase, aceitando cada mudança com carinho",0,0,0,0,1,0
Preocupada em como vai ser a volta ao trabalho depois da licença,1,0,0,1,0,0
Meu chefe foi super compreensivo hoje sobre os horários das consultas,0,0,0,0,1,0
Tenho medo de perder oportunidades no trabalho por causa da licença,0,0,0,1,0,0
"Consegui negociar um horário melhor no trabalho, fiquei aliviada",0,0,0,0,1,0
"A pressão no trabalho não dá trégua, mesmo eu grávida",0,0,1,0,0,0
"Não durmo bem há dias, a barriga já não deixa achar posição confortável",0,0,0,0,0,1
"Tive uns sonhos estranhos essa noite, acordei meio agitada",1,0,0,0,0,0
"Dormi super bem hoje, acordei leve e de bom humor",0,0,0,0,1,0
"A insônia tá difícil, fico rolando na cama sem conseguir pegar no sono",0,0,1,0,0,1
"Mal posso esperar pra conhecer esse bebê, a ansiedade boa tá tomando conta",1,0,0,0,1,0
Sinto uma gratidão enorme por essa gestação estar indo tão bem,0,0,0,0,1,0
Empolgada demais escolhendo as roupinhas do enxoval hoje,0,0,0,0,1,0
"Contando os dias pra conhecer o rostinho dele, ansiedade boa mesmo",1,0,0,0,1,0
Frustrada porque não consigo mais fazer as coisas no ritmo de antes,0,0,1,0,0,0
Fiquei irritada comigo mesma por esquecer coisas simples hoje,0,0,1,0,0,0
A falta de paciência tá maior que o normal essa semana,0,0,1,0,0,0
"Depois da perda que tive antes, cada consulta me deixa mais apreensiva que o normal",1,0,0,1,0,0
Fico com medo de me apegar demais antes de passar dos três meses,0,0,0,1,0,0
Recebi vários resultados de exame hoje e fiquei confusa tentando entender tudo,1,0,0,0,0,0
"O médico explicou tudo com calma hoje, saí da consulta mais tranquila",0,0,0,0,1,0
"A enjoo matinal voltou forte essa semana, difícil levantar da cama",0,0,0,0,0,1
"Senti a barriga endurecer algumas vezes hoje, acho que são as contrações de treinamento",0,0,0,0,0,1
"Dor lombar forte hoje, mal consegui ficar em pé por muito tempo",0,0,0,0,0,1
Notei minhas gengivas sangrando um pouco ao escovar os dentes,0,0,0,0,0,1
Prisão de ventre incomodando bastante essa semana,0,0,0,0,0,1
"Senti coceira na barriga à noite, acho que é o estiramento da pele",0,0,0,0,0,1
"As pernas ficaram pesadas e cheias de veinhas aparecendo, me incomodou hoje",0,0,0,0,0,1
"Senti um desconforto na hora de urinar, vou ficar de olho se piora",0,0,0,0,0,1
"Hoje tive uma sensibilidade a cheiros fora do normal, enjoada o dia todo",0,0,0,0,0,1
Notei meu peso subir mais rápido essa semana e fiquei um pouco preocupada,1,0,0,0,0,1
"dia comum, nada de novo pra falar hoje",0,0,0,0,0,0
Trabalhei o dia todo e à noite só relaxei um pouco,0,0,0,0,0,0
Fui na feira de manhã e resolvi umas coisas de casa à tarde,0,0,0,0,0,0
"Recebi visita de uma amiga à tarde, conversamos sobre assuntos gerais",0,0,0,0,0,0
Assisti as notícias e depois fui dormir cedo,0,0,0,0,0,0
"Ansiosa, cansada e com uma dor nas costas que não passa desde ontem",1,0,1,0,0,1
"Feliz com a gravidez, mas insegura sobre o parto e exausta com a rotina",0,0,1,1,1,0
"Triste, sem energia e ainda com náusea o dia inteiro",0,1,0,0,0,1
"Minha glicemia veio alta de novo hoje, fiquei frustrada com a dieta",0,0,1,0,0,1
"Consegui manter a glicemia controlada essa semana, fiquei aliviada",0,0,0,0,1,0
"Medi a pressão em casa e veio um pouco alta, fiquei apreensiva",1,0,0,0,0,1
Ansiosa toda vez que preciso medir a pressão agora,1,0,0,0,0,0
Cansada de controlar tudo que como por causa da diabetes gestacional,0,0,1,0,0,0
"O médico ajustou minha dieta hoje, saí mais confiante da consulta",0,0,0,0,1,0
Preocupada com os números do exame de glicemia que faço toda semana,1,0,0,0,0,0
"Segui a dieta certinho essa semana e o resultado veio bom, fiquei feliz",0,0,0,0,1,0
Dia bom hoje,0,0,0,0,1,0
Tudo tranquilo,0,0,0,0,1,0
"Dia difícil, só isso",0,1,0,0,0,0
Cansada demais hoje,0,0,1,0,0,0
Ansiosa sem motivo certo,1,0,0,0,0,0
Enjoo o dia inteiro,0,0,0,0,0,1
Nada de novo,0,0,0,0,0,0
Só cansaço mesmo,0,0,1,0,0,0
Medo bateu forte hoje,0,0,0,1,0,0
Feliz e grata hoje,0,0,0,0,1,0
Orei bastante hoje e isso me trouxe uma paz que eu precisava,0,0,0,0,1,0
Tenho pedido muita força pra conseguir enfrentar essa fase com calma,1,0,0,0,0,0
Fui na missa hoje e saí bem mais tranquila,0,0,0,0,1,0
"Coloquei tudo na mão de Deus hoje, isso aliviou um pouco a ansiedade",1,0,0,0,1,0
Agradeço todos os dias por essa gestação estar indo bem até agora,0,0,0,0,1,0
"Ainda no início, tenho muito medo de alguma coisa acontecer antes das 12 semanas",0,0,0,1,0,0
O enjoo do começo da gravidez tá difícil de lidar,0,0,0,0,0,1
"Só vou relaxar um pouco depois do primeiro ultrassom, confesso",1,0,0,1,0,0
Sensibilidade nos seios e um cansaço fora do normal essa semana,0,0,0,0,0,1
"Já tô impaciente pra esse bebê nascer logo, a reta final tá difícil",0,0,1,0,0,0
O peso da barriga já tá pesando bastante nas costas ultimamente,0,0,0,0,0,1
"Contando os dias, ansiosa e cansada ao mesmo tempo nessa reta final",1,0,1,0,0,0
Mal consigo dormir de tão grande que a barriga já está,0,0,0,0,0,1
"Tô no final da gestação e a expectativa só cresce, é bom e nervoso ao mesmo tempo",1,0,0,0,1,0
"Sendo gêmeos, sinto que minha preocupação é o dobro da de outras gestantes",1,0,0,0,0,0
"Cansaço redobrado hoje, carregar dois bebês não é fácil",0,0,1,0,0,1
"Por ser minha primeira gravidez, tudo me deixa insegura ainda",0,0,0,1,0,0
"Já sendo mãe de outro filho, sinto mais confiança dessa vez",0,0,0,0,1,0
"Comparado com minha primeira gravidez, essa tá bem mais tranquila",0,0,0,0,1,0
Não sei se vou conseguir dividir atenção entre os filhos direito,0,0,0,1,0,0
"Hoje bateu muita vontade de comer coisa doce, dia tranquilo fora isso",0,0,0,0,1,0
Tive aversão a um cheiro de comida que eu adorava antes,0,0,0,0,0,1
"Consegui comer bem hoje, apetite voltou ao normal",0,0,0,0,1,0
Fiz uma caminhada leve hoje e me senti bem disposta depois,0,0,0,0,1,0
Tentei fazer os exercícios da fisioterapia mas o cansaço venceu,0,0,1,0,0,0
Yoga pra gestante hoje ajudou bastante a acalmar a cabeça,0,0,0,0,1,0
As contas do enxoval estão pesando no orçamento esse mês,0,0,1,0,0,0
Fizemos as contas do que falta comprar e ficamos preocupados com o valor,1,0,0,0,0,0
"Consegui economizar pra comprar o carrinho, fiquei satisfeita",0,0,0,0,1,0
"Recebi uma mensagem carinhosa de uma amiga hoje, me fez bem",0,0,0,0,1,0
Fiquei magoada com um comentário sobre meu corpo hoje,0,1,0,0,0,0
"Perdi a paciência fácil hoje, acho que os hormônios estão à flor da pele",0,0,1,0,0,0
Um pensamento ruim passou pela cabeça hoje e não consegui afastar,1,0,0,0,0,0
"Me senti sozinha hoje, mesmo com gente em casa",0,1,0,0,0,0
Tive um momento de pânico pensando em como vai ser o pós-parto,1,0,0,1,0,0
"Consegui conversar bastante com meu parceiro sobre meus medos, foi bom desabafar",0,0,0,0,1,0
Fiquei remoendo os planos do parto o dia inteiro,1,0,0,0,0,0
Recebi uma notícia inesperada hoje e fiquei sem chão por um tempo,1,1,0,0,0,0
"Foi bom poder chorar hoje, acho que precisava colocar pra fora",0,1,0,0,0,0
"Senti o útero repuxando um pouco à tarde, nada muito forte",0,0,0,0,0,1
"Dor nas costelas incomodando ultimamente, acho que é o bebê crescendo",0,0,0,0,0,1
"Suor excessivo hoje, mesmo sem fazer nenhum esforço grande",0,0,0,0,0,1
"Senti o nariz entupido o dia todo, dizem que é comum na gravidez",0,0,0,0,0,1
"Notei mais salivação que o normal hoje, estranho mas parece que é comum",0,0,0,0,0,1
Sangramento leve nas gengivas de novo hoje ao escovar os dentes,0,0,0,0,0,1
Dor pélvica incomodou bastante ao caminhar hoje,0,0,0,0,0,1
"Senti uma pontada forte do lado esquerdo da barriga, passou rápido mas assustou",1,0,0,0,0,1
"Trabalhei de casa hoje, dia tranquilo sem imprevistos",0,0,0,0,0,0
Fui buscar uns exames no laboratório e resolvi umas coisas no caminho,0,0,0,0,0,0
Passei o dia estudando pra um curso que estou fazendo,0,0,0,0,0,0
"Limpei a casa e preparei o almoço, dia comum",0,0,0,0,0,0
"Conversei com amigas à tarde, nada fora do comum pra registrar",0,0,0,0,0,0
Feliz com o crescimento da barriga mas incomodada com a dor nas costas,0,0,0,0,1,1
Ansiosa com o exame de amanhã e com o sono ruim de ontem à noite,1,0,0,0,0,1
Grata pela gestação mas exausta com a correria de preparar tudo,0,0,1,0,1,0
Triste com a distância da família mas tentando manter o ânimo,0,1,0,0,1,0
Medo do parto e ao mesmo tempo muita vontade de conhecer o bebê logo,0,0,0,1,1,0
"Comecei a separar a mala da maternidade hoje, deu um friozinho na barriga",1,0,0,0,1,0
"Terminei de arrumar a mala da maternidade, me sinto mais preparada agora",0,0,0,0,1,0
"Ainda não escolhi o pediatra, isso tá me deixando ansiosa",1,0,0,0,0,0
"Fechei com o pediatra hoje, tirei um peso das costas",0,0,0,0,1,0
"Pesquisei sobre plano de parto hoje, fiquei com muitas dúvidas ainda",1,0,0,0,0,0
"Organizei os documentos pro hospital, checklist quase completo",0,0,0,0,1,0
"Faltam tantas coisas ainda pra deixar pronto, fico agoniada só de pensar",0,0,1,0,0,0
"A enfermeira foi super atenciosa hoje na consulta, me senti bem acolhida",0,0,0,0,1,0
"Me senti mal atendida na consulta de hoje, saí frustrada",0,1,1,0,0,0
"O médico tirou um tempo pra explicar tudo com calma, fiquei grata",0,0,0,0,1,0
Fiquei com várias dúvidas depois da consulta e não consegui perguntar tudo,1,0,0,0,0,0
"Troquei de obstetra hoje, ainda insegura se foi a decisão certa",0,0,0,1,0,0
"A consulta de hoje foi rápida demais, saí com mais dúvida que antes",1,0,0,0,0,0
Apareceram umas manchas escuras no rosto essa semana,0,0,0,0,0,1
"Meu cabelo tá mais bonito que nunca nessa gravidez, adorei o efeito",0,0,0,0,1,0
"A pele ficou mais oleosa e cheia de espinha de novo, meio incômodo",0,0,0,0,0,1
Notei a linha escura na barriga aparecendo essa semana,0,0,0,0,0,1
Já fico ansiosa pensando se vou conseguir amamentar direito,1,0,0,1,0,0
"Fiz um curso sobre amamentação hoje, saí bem mais tranquila",0,0,0,0,1,0
Tenho medo de não saber identificar quando o bebê tá com fome ou dor,0,0,0,1,0,0
"Pensando em como vai ser dividir as noites depois que ele nascer, já bate um cansaço antecipado",1,0,1,0,0,0
"Assisti uns vídeos sobre os primeiros dias com o bebê, fiquei mais confiante",0,0,0,0,1,0
Hj foi tranquilo,0,0,0,0,1,0
Enjoada de novo :(,0,0,0,0,0,1
Ansiosa pra amanhã,1,0,0,0,0,0
"Dia corrido, sem tempo pra nada",0,0,1,0,0,0
"Tudo bem por aqui, obrigada",0,0,0,0,1,0
Meio pra baixo hoje,0,1,0,0,0,0
"Consulta boa, tudo certo",0,0,0,0,1,0
Cansaço extremo hj,0,0,1,0,0,1
"Bebê mexendo muito hj, adorei",0,0,0,0,1,0
Sem novidade,0,0,0,0,0,0
De boa hoje,0,0,0,0,1,0
Não foi um dia fácil,0,1,0,0,0,0
"Confio que tudo vai dar certo, mesmo com o medo que sinto às vezes",0,0,0,1,1,0
Tenho fé de que essa fase difícil vai passar logo,0,1,0,0,1,0
Sigo com esperança apesar dos dias mais pesados dessa semana,0,0,1,0,1,0
A mudança de casa no meio da gravidez tá sendo mais puxada do que imaginei,0,0,1,0,0,0
"Recebi visita surpresa e não tava preparada, virou um estresse danado",0,0,1,0,0,0
O trânsito pra chegar nas consultas tá acabando com minha paciência,0,0,1,0,0,0
"Tentando equilibrar tudo sozinha essa semana, tá pesado",0,0,1,0,0,0
Tenho medo de me arrepender de alguma escolha que fizer agora,0,0,0,1,0,0
Insegura se o quarto do bebê já tá pronto o suficiente,0,0,0,1,0,0
Fico pensando se escolhi o nome certo pra ele,0,0,0,1,0,0
Medo de não conseguir identificar sinal de trabalho de parto na hora certa,0,0,0,1,0,0
Será que vou reconhecer quando for a hora de ir pro hospital de verdade?,1,0,0,1,0,0
"Recebi elogios sobre como tô linda grávida hoje, me senti bem",0,0,0,0,1,0
"Consegui fazer tudo que planejei hoje, dia produtivo e leve",0,0,0,0,1,0
"Passei a tarde vendo fotos de bebê com meu parceiro, momento gostoso",0,0,0,0,1,0
"Recebi o resultado do exame e veio tudo perfeito, aliviada e feliz",0,0,0,0,1,0
Tirei uma soneca boa à tarde e acordei bem mais disposta,0,0,0,0,1,0
Bateu uma nostalgia da vida antes da gravidez hoje,0,1,0,0,0,0
"Me senti incompreendida numa conversa hoje, fiquei mal o resto do dia",0,1,0,0,0,0
